3.0059999999999993,0.9778
3.0059999999999993,0.9778
3.0059999999999993,0.9778
4.006000000000001,0.9705
6.012000000000001,0.9778
6.012000000000001,0.9778
6.012000000000001,0.9778
6.112000000000003,0.9555
7.012000000000001,0.9705
7.012000000000001,0.9705
7.012000000000003,0.9778
7.015000000000002,0.9492
8.011999999999997,0.9634
9.017999999999999,0.9778
9.017999999999999,0.9778
9.110999999999999,0.9771
10.012,0.9563
10.017999999999999,0.9705
10.017999999999999,0.9705
10.110999999999999,0.9699
11.014,0.9706
13.014,0.9563
13.019999999999996,0.9499
15.022999999999998,0.9361
15.023999999999997,0.9423
17.02400000000001,0.9286
19.032000000000007,0.9562
21.03500000000001,0.9422
21.036000000000012,0.9562
23.036000000000012,0.9423
